disease,resistance_gene_count,temperature,humidity,soil_moisture,light,risk_level,risk_score
Early Blight,0,36.8,50.2,82.1,1169.2,LOW,25.0
Late Blight,2,36.8,50.2,82.1,1169.2,LOW,10.0
Fusarium Wilt,1,36.8,50.2,82.1,1169.2,LOW,25.0
Early Blight,0,20.8,67.8,34.9,1115.4,LOW,25.0
Late Blight,1,20.8,67.8,34.9,1115.4,LOW,35.0
Fusarium Wilt,2,20.8,67.8,34.9,1115.4,LOW,25.0
Early Blight,1,33.9,82.0,74.6,1146.0,LOW,35.0
Late Blight,0,33.9,82.0,74.6,1146.0,LOW,10.0
Fusarium Wilt,2,33.9,82.0,74.6,1146.0,LOW,25.0
Early Blight,0,34.2,34.8,87.1,403.8,LOW,12.0
Late Blight,1,34.2,34.8,87.1,403.8,LOW,10.0
Fusarium Wilt,1,34.2,34.8,87.1,403.8,LOW,25.0
Early Blight,1,25.2,75.7,70.8,111.8,MEDIUM,52.0
Late Blight,2,25.2,75.7,70.8,111.8,LOW,25.0
Fusarium Wilt,1,25.2,75.7,70.8,111.8,LOW,25.0
Early Blight,1,30.2,50.3,20.0,917.2,LOW,35.0
Late Blight,1,30.2,50.3,20.0,917.2,LOW,10.0
Fusarium Wilt,1,30.2,50.3,20.0,917.2,LOW,15.0
Early Blight,1,21.3,97.2,40.5,1080.2,LOW,35.0
Late Blight,1,21.3,97.2,40.5,1080.2,MEDIUM,45.0
Fusarium Wilt,0,21.3,97.2,40.5,1080.2,LOW,25.0
Early Blight,0,33.3,81.6,28.0,213.4,LOW,25.0
Late Blight,0,33.3,81.6,28.0,213.4,LOW,10.0
Fusarium Wilt,1,33.3,81.6,28.0,213.4,LOW,25.0
Early Blight,0,30.3,86.9,87.1,563.8,MEDIUM,42.0
Late Blight,1,30.3,86.9,87.1,563.8,LOW,20.0
Fusarium Wilt,1,30.3,86.9,87.1,563.8,LOW,25.0
Early Blight,0,20.8,64.5,43.6,1019.9,LOW,25.0
Late Blight,2,20.8,64.5,43.6,1019.9,LOW,25.0
Fusarium Wilt,1,20.8,64.5,43.6,1019.9,LOW,25.0
Early Blight,0,26.4,70.2,63.3,214.4,MEDIUM,42.0
Late Blight,0,26.4,70.2,63.3,214.4,LOW,25.0
Fusarium Wilt,1,26.4,70.2,63.3,214.4,MEDIUM,40.0
Early Blight,0,26.9,92.9,40.6,761.8,MEDIUM,42.0
Late Blight,0,26.9,92.9,40.6,761.8,LOW,25.0
Fusarium Wilt,1,26.9,92.9,40.6,761.8,MEDIUM,40.0
Early Blight,1,32.6,54.5,63.8,1094.2,LOW,35.0
Late Blight,1,32.6,54.5,63.8,1094.2,LOW,10.0
Fusarium Wilt,1,32.6,54.5,63.8,1094.2,MEDIUM,40.0
Early Blight,0,34.6,69.0,51.8,1134.2,LOW,25.0
Late Blight,0,34.6,69.0,51.8,1134.2,LOW,10.0
Fusarium Wilt,1,34.6,69.0,51.8,1134.2,MEDIUM,40.0
Early Blight,0,28.0,31.6,85.7,208.7,LOW,12.0
Late Blight,0,28.0,31.6,85.7,208.7,LOW,10.0
Fusarium Wilt,1,28.0,31.6,85.7,208.7,LOW,25.0
Early Blight,1,33.8,53.4,87.9,373.6,LOW,35.0
Late Blight,2,33.8,53.4,87.9,373.6,LOW,10.0
Fusarium Wilt,1,33.8,53.4,87.9,373.6,LOW,25.0
Early Blight,1,33.3,44.2,71.7,702.0,LOW,22.0
Late Blight,2,33.3,44.2,71.7,702.0,LOW,10.0
Fusarium Wilt,0,33.3,44.2,71.7,702.0,LOW,25.0
Early Blight,0,34.7,52.7,59.3,913.8,LOW,25.0
Late Blight,1,34.7,52.7,59.3,913.8,LOW,10.0
Fusarium Wilt,1,34.7,52.7,59.3,913.8,MEDIUM,40.0
Early Blight,1,29.7,51.3,49.8,304.8,LOW,35.0
Late Blight,1,29.7,51.3,49.8,304.8,LOW,10.0
Fusarium Wilt,1,29.7,51.3,49.8,304.8,MEDIUM,40.0
Early Blight,1,35.6,81.3,86.7,455.0,LOW,35.0
Late Blight,0,35.6,81.3,86.7,455.0,LOW,10.0
Fusarium Wilt,0,35.6,81.3,86.7,455.0,LOW,25.0
Early Blight,1,32.4,66.6,41.8,865.2,LOW,35.0
Late Blight,1,32.4,66.6,41.8,865.2,LOW,10.0
Fusarium Wilt,1,32.4,66.6,41.8,865.2,MEDIUM,40.0
Early Blight,0,21.1,78.7,52.6,536.4,LOW,25.0
Late Blight,1,21.1,78.7,52.6,536.4,LOW,25.0
Fusarium Wilt,0,21.1,78.7,52.6,536.4,LOW,25.0
Early Blight,1,21.8,68.8,16.6,1199.4,LOW,35.0
Late Blight,1,21.8,68.8,16.6,1199.4,LOW,25.0
Fusarium Wilt,1,21.8,68.8,16.6,1199.4,LOW,15.0
Early Blight,1,26.4,86.7,88.7,369.9,MEDIUM,52.0
Late Blight,1,26.4,86.7,88.7,369.9,LOW,35.0
Fusarium Wilt,2,26.4,86.7,88.7,369.9,LOW,25.0
Early Blight,0,15.5,71.6,77.0,556.0,LOW,25.0
Late Blight,1,15.5,71.6,77.0,556.0,LOW,35.0
Fusarium Wilt,0,15.5,71.6,77.0,556.0,LOW,25.0
Early Blight,0,29.4,90.4,88.3,921.5,MEDIUM,42.0
Late Blight,0,29.4,90.4,88.3,921.5,LOW,10.0
Fusarium Wilt,2,29.4,90.4,88.3,921.5,LOW,25.0
Early Blight,0,35.7,93.7,35.6,492.8,LOW,25.0
Late Blight,1,35.7,93.7,35.6,492.8,LOW,10.0
Fusarium Wilt,1,35.7,93.7,35.6,492.8,LOW,25.0
Early Blight,0,27.4,38.8,88.5,962.6,LOW,12.0
Late Blight,2,27.4,38.8,88.5,962.6,LOW,10.0
Fusarium Wilt,0,27.4,38.8,88.5,962.6,LOW,25.0
Early Blight,0,31.6,78.8,61.6,709.5,MEDIUM,42.0
Late Blight,1,31.6,78.8,61.6,709.5,LOW,10.0
Fusarium Wilt,1,31.6,78.8,61.6,709.5,MEDIUM,40.0
Early Blight,0,26.4,59.7,86.3,288.5,LOW,25.0
Late Blight,1,26.4,59.7,86.3,288.5,LOW,20.0
Fusarium Wilt,1,26.4,59.7,86.3,288.5,LOW,25.0
Early Blight,0,18.4,76.4,15.2,890.8,LOW,25.0
Late Blight,0,18.4,76.4,15.2,890.8,LOW,25.0
Fusarium Wilt,1,18.4,76.4,15.2,890.8,LOW,15.0
Early Blight,1,31.2,94.1,88.9,336.7,MEDIUM,52.0
Late Blight,0,31.2,94.1,88.9,336.7,LOW,10.0
Fusarium Wilt,1,31.2,94.1,88.9,336.7,LOW,25.0
Early Blight,0,35.1,94.3,21.5,693.6,LOW,25.0
Late Blight,2,35.1,94.3,21.5,693.6,LOW,10.0
Fusarium Wilt,0,35.1,94.3,21.5,693.6,LOW,15.0
Early Blight,0,23.2,38.1,88.2,775.2,LOW,12.0
Late Blight,0,23.2,38.1,88.2,775.2,LOW,10.0
Fusarium Wilt,1,23.2,38.1,88.2,775.2,LOW,25.0
Early Blight,1,32.5,42.2,24.5,814.3,LOW,22.0
Late Blight,2,32.5,42.2,24.5,814.3,LOW,10.0
Fusarium Wilt,0,32.5,42.2,24.5,814.3,LOW,15.0
Early Blight,1,36.8,56.3,42.6,866.1,LOW,35.0
Late Blight,2,36.8,56.3,42.6,866.1,LOW,10.0
Fusarium Wilt,1,36.8,56.3,42.6,866.1,MEDIUM,40.0
Early Blight,1,35.2,64.0,24.8,541.6,LOW,35.0
Late Blight,0,35.2,64.0,24.8,541.6,LOW,10.0
Fusarium Wilt,1,35.2,64.0,24.8,541.6,LOW,15.0
Early Blight,1,27.0,31.4,58.5,1180.2,LOW,22.0
Late Blight,2,27.0,31.4,58.5,1180.2,LOW,10.0
Fusarium Wilt,0,27.0,31.4,58.5,1180.2,MEDIUM,40.0
Early Blight,0,15.1,56.2,12.2,1095.7,LOW,25.0
Late Blight,0,15.1,56.2,12.2,1095.7,LOW,10.0
Fusarium Wilt,1,15.1,56.2,12.2,1095.7,LOW,15.0
Early Blight,0,19.2,44.8,37.6,1059.3,LOW,12.0
Late Blight,0,19.2,44.8,37.6,1059.3,LOW,10.0
Fusarium Wilt,0,19.2,44.8,37.6,1059.3,LOW,25.0
Early Blight,1,35.2,42.1,21.9,1000.9,LOW,22.0
Late Blight,1,35.2,42.1,21.9,1000.9,LOW,10.0
Fusarium Wilt,0,35.2,42.1,21.9,1000.9,LOW,15.0
Early Blight,1,33.6,51.2,33.3,484.0,LOW,35.0
Late Blight,0,33.6,51.2,33.3,484.0,LOW,10.0
Fusarium Wilt,1,33.6,51.2,33.3,484.0,LOW,25.0
Early Blight,0,37.9,92.6,85.0,1121.5,LOW,25.0
Late Blight,2,37.9,92.6,85.0,1121.5,LOW,10.0
Fusarium Wilt,1,37.9,92.6,85.0,1121.5,LOW,25.0
Early Blight,1,22.8,54.9,29.2,999.3,LOW,35.0
Late Blight,2,22.8,54.9,29.2,999.3,LOW,10.0
Fusarium Wilt,0,22.8,54.9,29.2,999.3,LOW,25.0
Early Blight,1,33.7,91.9,66.6,1023.0,LOW,35.0
Late Blight,0,33.7,91.9,66.6,1023.0,LOW,10.0
Fusarium Wilt,1,33.7,91.9,66.6,1023.0,MEDIUM,40.0
Early Blight,1,28.2,66.2,41.5,701.0,LOW,35.0
Late Blight,2,28.2,66.2,41.5,701.0,LOW,10.0
Fusarium Wilt,1,28.2,66.2,41.5,701.0,MEDIUM,40.0
Early Blight,1,24.8,59.6,16.6,126.2,LOW,35.0
Late Blight,0,24.8,59.6,16.6,126.2,LOW,10.0
Fusarium Wilt,1,24.8,59.6,16.6,126.2,LOW,15.0
Early Blight,1,32.7,82.4,65.9,680.3,LOW,35.0
Late Blight,1,32.7,82.4,65.9,680.3,LOW,20.0
Fusarium Wilt,0,32.7,82.4,65.9,680.3,MEDIUM,40.0
Early Blight,1,27.5,73.6,69.1,687.7,MEDIUM,52.0
Late Blight,2,27.5,73.6,69.1,687.7,LOW,25.0
Fusarium Wilt,1,27.5,73.6,69.1,687.7,MEDIUM,40.0
Early Blight,1,34.0,89.4,69.1,676.4,LOW,35.0
Late Blight,1,34.0,89.4,69.1,676.4,LOW,10.0
Fusarium Wilt,1,34.0,89.4,69.1,676.4,MEDIUM,40.0
Early Blight,1,36.8,90.7,67.0,180.3,LOW,35.0
Late Blight,1,36.8,90.7,67.0,180.3,LOW,10.0
Fusarium Wilt,1,36.8,90.7,67.0,180.3,MEDIUM,40.0
Early Blight,1,19.7,76.9,83.9,105.2,LOW,35.0
Late Blight,0,19.7,76.9,83.9,105.2,LOW,25.0
Fusarium Wilt,0,19.7,76.9,83.9,105.2,LOW,25.0
Early Blight,1,34.0,55.3,77.0,149.2,LOW,35.0
Late Blight,1,34.0,55.3,77.0,149.2,LOW,10.0
Fusarium Wilt,1,34.0,55.3,77.0,149.2,LOW,25.0
Early Blight,0,28.1,88.7,60.1,325.4,MEDIUM,42.0
Late Blight,1,28.1,88.7,60.1,325.4,LOW,20.0
Fusarium Wilt,1,28.1,88.7,60.1,325.4,MEDIUM,40.0
Early Blight,1,24.5,48.9,82.1,998.4,LOW,22.0
Late Blight,0,24.5,48.9,82.1,998.4,LOW,10.0
Fusarium Wilt,1,24.5,48.9,82.1,998.4,LOW,25.0
Early Blight,1,25.3,75.1,27.8,801.4,MEDIUM,52.0
Late Blight,1,25.3,75.1,27.8,801.4,LOW,35.0
Fusarium Wilt,2,25.3,75.1,27.8,801.4,LOW,25.0
Early Blight,1,36.7,47.4,64.5,1123.7,LOW,22.0
Late Blight,1,36.7,47.4,64.5,1123.7,LOW,20.0
Fusarium Wilt,1,36.7,47.4,64.5,1123.7,MEDIUM,40.0
Early Blight,0,17.7,86.0,80.7,1145.2,LOW,25.0
Late Blight,2,17.7,86.0,80.7,1145.2,MEDIUM,45.0
Fusarium Wilt,1,17.7,86.0,80.7,1145.2,LOW,25.0
Early Blight,0,17.5,45.5,76.6,302.9,LOW,12.0
Late Blight,1,17.5,45.5,76.6,302.9,LOW,20.0
Fusarium Wilt,1,17.5,45.5,76.6,302.9,LOW,25.0
Early Blight,0,18.3,70.6,13.3,1127.0,LOW,25.0
Late Blight,2,18.3,70.6,13.3,1127.0,LOW,25.0
Fusarium Wilt,1,18.3,70.6,13.3,1127.0,LOW,15.0
Early Blight,1,36.8,53.2,86.0,1114.0,LOW,35.0
Late Blight,1,36.8,53.2,86.0,1114.0,LOW,10.0
Fusarium Wilt,2,36.8,53.2,86.0,1114.0,LOW,25.0
Early Blight,0,21.7,34.3,24.7,313.8,LOW,12.0
Late Blight,1,21.7,34.3,24.7,313.8,LOW,10.0
Fusarium Wilt,2,21.7,34.3,24.7,313.8,LOW,15.0
Early Blight,1,27.2,67.9,21.5,1160.6,LOW,35.0
Late Blight,1,27.2,67.9,21.5,1160.6,LOW,35.0
Fusarium Wilt,0,27.2,67.9,21.5,1160.6,LOW,15.0
Early Blight,1,18.9,93.4,39.6,257.8,LOW,35.0
Late Blight,2,18.9,93.4,39.6,257.8,MEDIUM,45.0
Fusarium Wilt,0,18.9,93.4,39.6,257.8,LOW,25.0
Early Blight,0,32.7,38.1,28.0,791.1,LOW,12.0
Late Blight,1,32.7,38.1,28.0,791.1,LOW,10.0
Fusarium Wilt,0,32.7,38.1,28.0,791.1,LOW,25.0
Early Blight,0,29.8,49.2,59.3,594.6,LOW,12.0
Late Blight,0,29.8,49.2,59.3,594.6,LOW,10.0
Fusarium Wilt,1,29.8,49.2,59.3,594.6,MEDIUM,40.0
Early Blight,1,25.5,92.5,22.3,690.1,MEDIUM,52.0
Late Blight,1,25.5,92.5,22.3,690.1,LOW,25.0
Fusarium Wilt,1,25.5,92.5,22.3,690.1,LOW,15.0
Early Blight,0,38.0,90.0,39.4,123.0,LOW,25.0
Late Blight,2,38.0,90.0,39.4,123.0,LOW,10.0
Fusarium Wilt,0,38.0,90.0,39.4,123.0,LOW,25.0
Early Blight,0,20.2,57.4,77.2,488.2,LOW,25.0
Late Blight,2,20.2,57.4,77.2,488.2,LOW,10.0
Fusarium Wilt,1,20.2,57.4,77.2,488.2,LOW,25.0
Early Blight,0,23.9,54.7,36.1,538.8,LOW,25.0
Late Blight,2,23.9,54.7,36.1,538.8,LOW,10.0
Fusarium Wilt,2,23.9,54.7,36.1,538.8,LOW,25.0
Early Blight,0,35.1,74.8,59.5,1090.4,LOW,25.0
Late Blight,1,35.1,74.8,59.5,1090.4,LOW,20.0
Fusarium Wilt,1,35.1,74.8,59.5,1090.4,MEDIUM,40.0
Early Blight,0,18.3,37.4,62.2,430.4,LOW,12.0
Late Blight,0,18.3,37.4,62.2,430.4,LOW,10.0
Fusarium Wilt,2,18.3,37.4,62.2,430.4,LOW,25.0
Early Blight,1,27.7,40.7,40.7,669.3,LOW,22.0
Late Blight,1,27.7,40.7,40.7,669.3,LOW,10.0
Fusarium Wilt,1,27.7,40.7,40.7,669.3,MEDIUM,40.0
Early Blight,1,21.3,80.7,55.1,271.4,LOW,35.0
Late Blight,1,21.3,80.7,55.1,271.4,MEDIUM,55.0
Fusarium Wilt,2,21.3,80.7,55.1,271.4,LOW,25.0
Early Blight,0,35.0,38.9,84.5,447.8,LOW,12.0
Late Blight,0,35.0,38.9,84.5,447.8,LOW,10.0
Fusarium Wilt,0,35.0,38.9,84.5,447.8,LOW,25.0
Early Blight,1,33.1,35.8,10.7,1048.5,LOW,22.0
Late Blight,1,33.1,35.8,10.7,1048.5,LOW,20.0
Fusarium Wilt,1,33.1,35.8,10.7,1048.5,LOW,15.0
Early Blight,0,18.5,44.5,77.3,499.2,LOW,12.0
Late Blight,0,18.5,44.5,77.3,499.2,LOW,10.0
Fusarium Wilt,1,18.5,44.5,77.3,499.2,LOW,25.0
Early Blight,1,21.7,36.9,55.0,1090.9,LOW,22.0
Late Blight,1,21.7,36.9,55.0,1090.9,LOW,10.0
Fusarium Wilt,1,21.7,36.9,55.0,1090.9,LOW,25.0
Early Blight,0,27.7,61.9,88.7,859.0,LOW,25.0
Late Blight,0,27.7,61.9,88.7,859.0,LOW,25.0
Fusarium Wilt,2,27.7,61.9,88.7,859.0,LOW,25.0
Early Blight,1,32.4,39.2,40.5,517.3,LOW,22.0
Late Blight,1,32.4,39.2,40.5,517.3,LOW,10.0
Fusarium Wilt,0,32.4,39.2,40.5,517.3,MEDIUM,40.0
Early Blight,0,28.5,42.4,81.5,1167.3,LOW,12.0
Late Blight,0,28.5,42.4,81.5,1167.3,LOW,10.0
Fusarium Wilt,0,28.5,42.4,81.5,1167.3,LOW,25.0
Early Blight,1,16.6,39.2,34.0,533.0,LOW,22.0
Late Blight,0,16.6,39.2,34.0,533.0,LOW,10.0
Fusarium Wilt,0,16.6,39.2,34.0,533.0,LOW,25.0
Early Blight,0,22.4,78.4,85.9,191.4,LOW,25.0
Late Blight,1,22.4,78.4,85.9,191.4,LOW,35.0
Fusarium Wilt,1,22.4,78.4,85.9,191.4,LOW,25.0
Early Blight,0,18.9,87.9,25.4,408.3,LOW,25.0
Late Blight,1,18.9,87.9,25.4,408.3,MEDIUM,55.0
Fusarium Wilt,1,18.9,87.9,25.4,408.3,LOW,25.0
Early Blight,1,20.5,50.9,45.9,576.2,LOW,35.0
Late Blight,0,20.5,50.9,45.9,576.2,LOW,10.0
Fusarium Wilt,2,20.5,50.9,45.9,576.2,LOW,25.0
Early Blight,0,27.7,38.9,88.3,786.6,LOW,12.0
Late Blight,2,27.7,38.9,88.3,786.6,LOW,10.0
Fusarium Wilt,1,27.7,38.9,88.3,786.6,LOW,25.0
Early Blight,0,15.8,75.7,65.7,469.2,LOW,25.0
Late Blight,0,15.8,75.7,65.7,469.2,LOW,25.0
Fusarium Wilt,2,15.8,75.7,65.7,469.2,LOW,25.0
Early Blight,1,36.7,78.9,54.2,637.7,LOW,35.0
Late Blight,0,36.7,78.9,54.2,637.7,LOW,10.0
Fusarium Wilt,1,36.7,78.9,54.2,637.7,MEDIUM,40.0
Early Blight,0,22.3,64.6,19.1,991.8,LOW,25.0
Late Blight,2,22.3,64.6,19.1,991.8,LOW,25.0
Fusarium Wilt,2,22.3,64.6,19.1,991.8,LOW,15.0
Early Blight,1,33.4,83.0,79.1,110.6,LOW,35.0
Late Blight,0,33.4,83.0,79.1,110.6,LOW,10.0
Fusarium Wilt,1,33.4,83.0,79.1,110.6,LOW,25.0
Early Blight,0,29.4,89.3,46.9,1060.7,MEDIUM,42.0
Late Blight,2,29.4,89.3,46.9,1060.7,LOW,10.0
Fusarium Wilt,1,29.4,89.3,46.9,1060.7,MEDIUM,40.0
Early Blight,1,32.2,35.5,17.3,1146.5,LOW,22.0
Late Blight,1,32.2,35.5,17.3,1146.5,LOW,20.0
Fusarium Wilt,2,32.2,35.5,17.3,1146.5,LOW,15.0
Early Blight,0,22.4,66.0,48.1,317.0,LOW,25.0
Late Blight,1,22.4,66.0,48.1,317.0,LOW,35.0
Fusarium Wilt,1,22.4,66.0,48.1,317.0,LOW,25.0
Early Blight,1,34.9,34.2,24.8,106.9,LOW,22.0
Late Blight,2,34.9,34.2,24.8,106.9,LOW,10.0
Fusarium Wilt,0,34.9,34.2,24.8,106.9,LOW,15.0
Early Blight,1,31.1,77.8,16.1,305.8,MEDIUM,52.0
Late Blight,1,31.1,77.8,16.1,305.8,LOW,20.0
Fusarium Wilt,0,31.1,77.8,16.1,305.8,LOW,15.0
Early Blight,0,28.8,64.5,32.8,569.2,LOW,25.0
Late Blight,0,28.8,64.5,32.8,569.2,LOW,10.0
Fusarium Wilt,0,28.8,64.5,32.8,569.2,LOW,25.0
Early Blight,1,20.8,81.3,15.2,169.1,LOW,35.0
Late Blight,0,20.8,81.3,15.2,169.1,MEDIUM,45.0
Fusarium Wilt,1,20.8,81.3,15.2,169.1,LOW,15.0
Early Blight,1,32.6,78.7,11.0,918.7,LOW,35.0
Late Blight,0,32.6,78.7,11.0,918.7,LOW,10.0
Fusarium Wilt,1,32.6,78.7,11.0,918.7,LOW,15.0
Early Blight,1,30.6,34.5,31.0,1023.7,LOW,22.0
Late Blight,1,30.6,34.5,31.0,1023.7,LOW,20.0
Fusarium Wilt,1,30.6,34.5,31.0,1023.7,LOW,25.0
Early Blight,1,22.2,97.9,25.2,746.0,LOW,35.0
Late Blight,2,22.2,97.9,25.2,746.0,MEDIUM,45.0
Fusarium Wilt,1,22.2,97.9,25.2,746.0,LOW,25.0
Early Blight,1,34.5,96.1,47.1,1089.0,LOW,35.0
Late Blight,1,34.5,96.1,47.1,1089.0,LOW,10.0
Fusarium Wilt,2,34.5,96.1,47.1,1089.0,MEDIUM,40.0
Early Blight,1,18.2,51.5,89.2,795.4,LOW,35.0
Late Blight,1,18.2,51.5,89.2,795.4,LOW,10.0
Fusarium Wilt,1,18.2,51.5,89.2,795.4,LOW,25.0
Early Blight,1,28.6,42.5,17.6,530.4,LOW,22.0
Late Blight,2,28.6,42.5,17.6,530.4,LOW,10.0
Fusarium Wilt,2,28.6,42.5,17.6,530.4,LOW,15.0
Early Blight,0,37.0,67.4,28.2,635.2,LOW,25.0
Late Blight,1,37.0,67.4,28.2,635.2,LOW,10.0
Fusarium Wilt,1,37.0,67.4,28.2,635.2,LOW,25.0
Early Blight,1,16.4,95.4,15.4,455.6,LOW,35.0
Late Blight,2,16.4,95.4,15.4,455.6,MEDIUM,45.0
Fusarium Wilt,0,16.4,95.4,15.4,455.6,LOW,15.0
Early Blight,0,24.6,30.9,34.6,274.5,LOW,12.0
Late Blight,1,24.6,30.9,34.6,274.5,LOW,20.0
Fusarium Wilt,2,24.6,30.9,34.6,274.5,LOW,25.0
Early Blight,1,21.5,79.3,74.6,1050.5,LOW,35.0
Late Blight,1,21.5,79.3,74.6,1050.5,LOW,35.0
Fusarium Wilt,2,21.5,79.3,74.6,1050.5,LOW,25.0
Early Blight,1,19.8,52.2,28.7,1059.1,LOW,35.0
Late Blight,0,19.8,52.2,28.7,1059.1,LOW,10.0
Fusarium Wilt,0,19.8,52.2,28.7,1059.1,LOW,25.0
Early Blight,1,28.3,52.5,25.6,239.8,LOW,35.0
Late Blight,0,28.3,52.5,25.6,239.8,LOW,10.0
Fusarium Wilt,1,28.3,52.5,25.6,239.8,LOW,25.0
Early Blight,1,20.5,85.7,49.1,616.7,LOW,35.0
Late Blight,1,20.5,85.7,49.1,616.7,MEDIUM,55.0
Fusarium Wilt,0,20.5,85.7,49.1,616.7,LOW,25.0
Early Blight,0,16.9,63.4,58.2,1080.0,LOW,25.0
Late Blight,2,16.9,63.4,58.2,1080.0,LOW,25.0
Fusarium Wilt,0,16.9,63.4,58.2,1080.0,LOW,25.0
Early Blight,1,21.4,39.7,77.8,164.9,LOW,22.0
Late Blight,1,21.4,39.7,77.8,164.9,LOW,20.0
Fusarium Wilt,1,21.4,39.7,77.8,164.9,LOW,25.0
Early Blight,0,18.4,48.5,35.6,1183.8,LOW,12.0
Late Blight,0,18.4,48.5,35.6,1183.8,LOW,10.0
Fusarium Wilt,0,18.4,48.5,35.6,1183.8,LOW,25.0
Early Blight,1,28.7,38.2,68.7,909.0,LOW,22.0
Late Blight,1,28.7,38.2,68.7,909.0,LOW,20.0
Fusarium Wilt,1,28.7,38.2,68.7,909.0,MEDIUM,40.0
Early Blight,1,33.8,30.7,30.9,258.5,LOW,22.0
Late Blight,0,33.8,30.7,30.9,258.5,LOW,10.0
Fusarium Wilt,2,33.8,30.7,30.9,258.5,LOW,25.0
Early Blight,0,35.9,40.0,60.1,710.8,LOW,12.0
Late Blight,1,35.9,40.0,60.1,710.8,LOW,20.0
Fusarium Wilt,2,35.9,40.0,60.1,710.8,MEDIUM,40.0
Early Blight,0,31.2,60.8,23.0,241.4,LOW,25.0
Late Blight,1,31.2,60.8,23.0,241.4,LOW,10.0
Fusarium Wilt,1,31.2,60.8,23.0,241.4,LOW,15.0
Early Blight,0,22.3,79.0,54.0,791.8,LOW,25.0
Late Blight,2,22.3,79.0,54.0,791.8,LOW,25.0
Fusarium Wilt,1,22.3,79.0,54.0,791.8,LOW,25.0
Early Blight,1,21.5,68.5,55.5,1071.6,LOW,35.0
Late Blight,1,21.5,68.5,55.5,1071.6,LOW,35.0
Fusarium Wilt,2,21.5,68.5,55.5,1071.6,LOW,25.0
Early Blight,0,18.5,65.5,85.2,358.5,LOW,25.0
Late Blight,1,18.5,65.5,85.2,358.5,LOW,35.0
Fusarium Wilt,1,18.5,65.5,85.2,358.5,LOW,25.0
Early Blight,1,26.3,67.1,52.0,806.0,LOW,35.0
Late Blight,1,26.3,67.1,52.0,806.0,LOW,25.0
Fusarium Wilt,1,26.3,67.1,52.0,806.0,MEDIUM,40.0
Early Blight,0,17.7,92.0,30.9,363.2,LOW,25.0
Late Blight,1,17.7,92.0,30.9,363.2,MEDIUM,55.0
Fusarium Wilt,1,17.7,92.0,30.9,363.2,LOW,25.0
Early Blight,0,16.0,44.9,28.6,267.9,LOW,12.0
Late Blight,1,16.0,44.9,28.6,267.9,LOW,20.0
Fusarium Wilt,0,16.0,44.9,28.6,267.9,LOW,25.0
Early Blight,0,15.4,82.1,49.4,836.6,LOW,25.0
Late Blight,1,15.4,82.1,49.4,836.6,MEDIUM,55.0
Fusarium Wilt,1,15.4,82.1,49.4,836.6,LOW,25.0
Early Blight,1,28.4,30.5,66.1,739.7,LOW,22.0
Late Blight,1,28.4,30.5,66.1,739.7,LOW,20.0
Fusarium Wilt,1,28.4,30.5,66.1,739.7,MEDIUM,40.0
Early Blight,0,36.0,80.6,32.5,711.9,LOW,25.0
Late Blight,2,36.0,80.6,32.5,711.9,LOW,10.0
Fusarium Wilt,1,36.0,80.6,32.5,711.9,LOW,25.0
Early Blight,1,22.5,47.7,19.5,413.9,LOW,22.0
Late Blight,0,22.5,47.7,19.5,413.9,LOW,10.0
Fusarium Wilt,1,22.5,47.7,19.5,413.9,LOW,15.0
Early Blight,0,19.3,32.8,74.4,917.1,LOW,12.0
Late Blight,1,19.3,32.8,74.4,917.1,LOW,10.0
Fusarium Wilt,0,19.3,32.8,74.4,917.1,LOW,25.0
Early Blight,1,30.5,90.3,75.4,497.0,MEDIUM,52.0
Late Blight,0,30.5,90.3,75.4,497.0,LOW,10.0
Fusarium Wilt,1,30.5,90.3,75.4,497.0,LOW,25.0
Early Blight,1,26.8,51.1,27.3,299.0,LOW,35.0
Late Blight,1,26.8,51.1,27.3,299.0,LOW,10.0
Fusarium Wilt,1,26.8,51.1,27.3,299.0,LOW,25.0
Early Blight,0,24.0,81.3,83.7,628.2,MEDIUM,42.0
Late Blight,0,24.0,81.3,83.7,628.2,MEDIUM,45.0
Fusarium Wilt,1,24.0,81.3,83.7,628.2,LOW,25.0
Early Blight,1,17.5,30.0,12.5,155.0,LOW,22.0
Late Blight,2,17.5,30.0,12.5,155.0,LOW,10.0
Fusarium Wilt,1,17.5,30.0,12.5,155.0,LOW,15.0
Early Blight,0,37.1,36.6,39.4,810.3,LOW,12.0
Late Blight,1,37.1,36.6,39.4,810.3,LOW,20.0
Fusarium Wilt,1,37.1,36.6,39.4,810.3,LOW,25.0
Early Blight,1,21.8,32.4,19.6,256.0,LOW,22.0
Late Blight,0,21.8,32.4,19.6,256.0,LOW,10.0
Fusarium Wilt,1,21.8,32.4,19.6,256.0,LOW,15.0
Early Blight,0,29.6,94.8,73.4,1068.3,MEDIUM,42.0
Late Blight,2,29.6,94.8,73.4,1068.3,LOW,10.0
Fusarium Wilt,1,29.6,94.8,73.4,1068.3,LOW,25.0
Early Blight,0,35.4,77.3,31.9,124.8,LOW,25.0
Late Blight,1,35.4,77.3,31.9,124.8,LOW,10.0
Fusarium Wilt,2,35.4,77.3,31.9,124.8,LOW,25.0
Early Blight,1,23.7,32.5,44.6,612.3,LOW,22.0
Late Blight,1,23.7,32.5,44.6,612.3,LOW,10.0
